epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
53,12291,0.668850,0.171606,0.524711,0.884248,0.5991,0.4009
53,12341,0.527409,0.125319,0.360920,0.881935,0.6805,0.3195
54,12421,0.680396,0.192628,0.630245,0.881001,0.8000,0.2000
54,12471,0.797668,0.149660,0.746946,0.891866,0.6500,0.3500
54,12521,0.521169,0.106239,0.340749,0.886727,0.6695,0.3305
54,12571,0.550071,0.235352,0.448697,0.892062,0.7714,0.2286
55,12651,0.899863,0.185206,0.906388,0.887746,0.6500,0.3500
55,12701,0.452934,0.247033,0.239510,0.888917,0.6714,0.3286
55,12751,0.256916,0.154839,0.098419,0.890901,0.8000,0.2000
55,12801,0.411693,0.135920,0.155726,0.887060,0.6500,0.3500
56,12881,0.429023,0.135570,0.181623,0.888480,0.6500,0.3500
56,12931,0.544951,0.189167,0.454041,0.882488,0.7878,0.2122
56,12981,0.576066,0.184527,0.319484,0.889667,0.5500,0.4500
56,13031,1.484162,0.245707,1.804184,0.889835,0.6500,0.3500
57,13111,0.567943,0.263796,0.488079,0.887396,0.8000,0.2000
57,13161,0.616009,0.191704,0.455805,0.880846,0.6231,0.3769
57,13211,0.495179,0.173364,0.282977,0.889270,0.6500,0.3500
57,13261,0.685297,0.151747,0.435945,0.889313,0.4500,0.5500
58,13341,0.600861,0.161755,0.444353,0.891520,0.6500,0.3500
58,13391,0.426278,0.219795,0.178280,0.886846,0.6500,0.3500
58,13441,0.678742,0.138127,0.478511,0.878252,0.4991,0.5009
58,13491,0.552968,0.147729,0.270552,0.883298,0.5391,0.4609
59,13571,0.479724,0.225278,0.315466,0.877638,0.7078,0.2922
59,13621,0.436094,0.214634,0.286421,0.887280,0.7509,0.2491
59,13671,0.628778,0.239178,0.418901,0.877333,0.5422,0.4578
59,13721,0.728376,0.260822,0.656118,0.889890,0.6909,0.3091
60,13801,0.809720,0.167476,0.789280,0.891480,0.8000,0.2000
60,13851,0.973461,0.214938,1.037148,0.885999,0.5786,0.4214
60,13901,0.555078,0.176649,0.377338,0.885167,0.6500,0.3500
60,13951,0.737105,0.299401,0.699780,0.886404,0.8000,0.2000
61,14031,0.988132,0.272850,1.042757,0.886688,0.6500,0.3500
61,14081,0.524489,0.208154,0.314540,0.877275,0.6269,0.3731
61,14131,0.626024,0.157362,0.562034,0.881982,0.8000,0.2000
61,14181,0.603250,0.175056,0.411634,0.889597,0.5991,0.4009
62,14261,0.731578,0.196918,0.647644,0.887455,0.6500,0.3500
62,14311,0.722481,0.202096,0.683089,0.880053,0.8000,0.2000
62,14361,0.569833,0.128451,0.299509,0.885443,0.5386,0.4614
62,14411,0.582309,0.152043,0.417482,0.888416,0.6500,0.3500
63,14491,0.617888,0.210487,0.537282,0.889820,0.7714,0.2286
63,14541,1.315330,0.288690,1.545672,0.887550,0.6500,0.3500
63,14591,1.063878,0.183215,1.161292,0.882965,0.6500,0.3500
63,14641,0.388330,0.191732,0.263854,0.886235,0.8000,0.2000
64,14721,0.949502,0.298529,0.986534,0.880730,0.6500,0.3500
64,14771,0.623214,0.334603,0.481514,0.886371,0.6500,0.3500
64,14821,0.561796,0.131356,0.481196,0.884196,0.8000,0.2000
64,14871,0.441731,0.148771,0.176136,0.880796,0.6231,0.3769
65,14951,0.486276,0.151181,0.270422,0.887149,0.6500,0.3500
65,15001,0.927762,0.167238,0.937472,0.888922,0.8000,0.2000
65,15051,0.490763,0.192298,0.279697,0.882743,0.6500,0.3500
65,15101,0.500301,0.162179,0.291166,0.888693,0.6500,0.3500
66,15181,0.362273,0.165427,0.230331,0.890042,0.8000,0.2000
66,15231,0.574947,0.137812,0.384648,0.889537,0.6231,0.3769
66,15281,0.392398,0.207512,0.134291,0.891420,0.6591,0.3409
66,15331,0.567936,0.189859,0.489768,0.880605,0.8000,0.2000
67,15411,0.978045,0.184329,1.030301,0.880998,0.6500,0.3500
67,15461,0.597831,0.162250,0.441327,0.889637,0.6509,0.3491
67,15511,0.359517,0.210393,0.185871,0.882970,0.7509,0.2491
67,15561,0.517322,0.152135,0.224340,0.888846,0.5591,0.4409
68,15641,0.539092,0.199473,0.348446,0.893149,0.6500,0.3500
68,15691,0.829830,0.223744,0.814796,0.889968,0.8000,0.2000
68,15741,0.656459,0.257633,0.464288,0.880826,0.5386,0.4614
68,15791,0.523824,0.227397,0.323461,0.895927,0.6500,0.3500
69,15871,0.502212,0.169757,0.408481,0.877136,0.8000,0.2000
69,15921,0.448943,0.100176,0.189441,0.877932,0.6231,0.3769
69,15971,0.652022,0.186978,0.524836,0.888225,0.6500,0.3500
69,16021,0.706426,0.131635,0.663687,0.877382,0.8000,0.2000
