epoch,global_step,total_loss,spectrum_loss,ssim_loss,rfi_loss,detection_loss,alpha,beta,gamma,delta
45,10351,0.038410,0.031198,0.073541,0.975899,0.103325,1.0000,0.0000,0.0000,0.1000
45,10401,0.139968,0.071139,0.112122,0.973227,0.353492,0.9500,0.0500,0.0000,0.1000
45,10451,0.093645,0.055158,0.134817,0.976852,0.025264,0.9500,0.0500,0.0000,0.1000
45,10501,0.091205,0.056746,0.095661,0.976755,0.401333,1.0000,0.0000,0.0000,0.1000
46,10581,0.179492,0.088406,0.200127,0.979239,0.026306,0.8786,0.1214,0.0000,0.1000
46,10631,0.126365,0.078506,0.081782,0.978864,0.151933,0.9500,0.0500,0.0000,0.1000
46,10681,0.041447,0.031133,0.128915,0.977392,0.134276,1.0000,0.0000,0.0000,0.1000
46,10731,0.160182,0.059727,0.130908,0.976349,0.063145,0.8786,0.1214,0.0000,0.1000
47,10811,0.070554,0.034243,0.091045,0.974660,0.058809,0.9600,0.0400,0.0000,0.1000
47,10861,0.131997,0.094009,0.100015,0.976367,0.473887,1.0000,0.0000,0.0000,0.1000
47,10911,0.101293,0.051316,0.117541,0.976373,0.134806,0.9500,0.0500,0.0000,0.1000
47,10961,0.123685,0.030030,0.078782,0.976254,0.540776,0.9500,0.0500,0.0000,0.1000
48,11041,0.082514,0.047114,0.063245,0.972016,0.401114,1.0000,0.0000,0.0000,0.1000
48,11091,0.122969,0.061566,0.109834,0.973587,0.265186,0.9500,0.0500,0.0000,0.1000
48,11141,0.136852,0.055705,0.072189,0.974725,0.288197,0.9300,0.0700,0.0000,0.1000
48,11191,0.086163,0.061134,0.130507,0.983016,0.311427,1.0000,0.0000,0.0000,0.1000
49,11271,0.095515,0.048832,0.186652,0.978023,0.097526,0.9500,0.0500,0.0000,0.1000
49,11321,0.110474,0.060038,0.087721,0.977530,0.151533,0.9500,0.0500,0.0000,0.1000
49,11371,0.179199,0.127016,0.283805,0.977048,0.648849,1.0000,0.0000,0.0000,0.1000
49,11421,0.170888,0.131786,0.524416,0.974266,0.143691,0.9500,0.0500,0.0000,0.1000
50,11501,0.135103,0.085429,0.106753,0.976308,0.181280,0.9500,0.0500,0.0000,0.1000
50,11551,0.593419,0.403177,0.220255,0.975679,2.305601,1.0000,0.0000,0.0000,0.1000
50,11601,0.169620,0.104478,0.103244,0.973792,0.364709,0.9500,0.0500,0.0000,0.1000
50,11651,0.194793,0.091648,0.140218,0.977262,0.724577,0.9500,0.0500,0.0000,0.1000
51,11731,0.083731,0.039655,0.113786,0.971607,0.480420,1.0000,0.0000,0.0000,0.1000
51,11781,0.174765,0.036360,0.098655,0.975213,0.152965,0.8500,0.1500,0.0000,0.1000
51,11831,0.078929,0.030943,0.113561,0.975840,0.085601,0.9500,0.0500,0.0000,0.1000
51,11881,0.068499,0.045297,0.080062,0.975484,0.277310,1.0000,0.0000,0.0000,0.1000
52,11961,0.123002,0.083230,0.123606,0.975763,0.079310,0.9500,0.0500,0.0000,0.1000
52,12011,0.186642,0.083263,0.076891,0.972435,0.873351,0.9695,0.0305,0.0000,0.1000
52,12061,0.161583,0.026557,0.093978,0.972519,0.606727,0.9095,0.0905,0.0000,0.1000
52,12111,0.076015,0.027118,0.152443,0.979853,0.087359,0.9500,0.0500,0.0000,0.1000
53,12191,0.111105,0.060950,0.135265,0.974271,0.151513,0.9500,0.0500,0.0000,0.1000
53,12241,0.053231,0.032712,0.069043,0.979685,0.152676,0.9900,0.0100,0.0000,0.1000
53,12291,0.130982,0.093836,0.145288,0.973532,0.069432,0.9500,0.0500,0.0000,0.1000
53,12341,0.137381,0.086825,0.149444,0.976748,0.191925,0.9500,0.0500,0.0000,0.1000
54,12421,0.104862,0.058572,0.112089,0.978204,0.521475,1.0000,0.0000,0.0000,0.1000
54,12471,0.301256,0.040739,0.091544,0.973122,1.489439,0.8622,0.1378,0.0000,0.1000
54,12521,0.089084,0.041020,0.088809,0.978924,0.099602,0.9500,0.0500,0.0000,0.1000
54,12571,0.038180,0.028002,0.076988,0.969722,0.129773,1.0000,0.0000,0.0000,0.1000
55,12651,0.267326,0.226073,0.615911,0.974999,0.301589,0.9500,0.0500,0.0000,0.1000
55,12701,0.122296,0.080829,0.214709,0.979632,0.091046,0.9500,0.0500,0.0000,0.1000
55,12751,0.080109,0.068592,0.126029,0.979769,0.183763,1.0000,0.0000,0.0000,0.1000
55,12801,0.118215,0.052345,0.189595,0.973591,0.296483,0.9500,0.0500,0.0000,0.1000
56,12881,0.067778,0.034681,0.118905,0.979034,0.106831,0.9695,0.0305,0.0000,0.1000
56,12931,0.097741,0.056202,0.076572,0.983698,0.471593,1.0000,0.0000,0.0000,0.1000
56,12981,0.137087,0.088416,0.247468,0.976390,0.175532,0.9500,0.0500,0.0000,0.1000
56,13031,0.124260,0.064925,0.084691,0.976592,0.248024,0.9500,0.0500,0.0000,0.1000
57,13111,0.030994,0.030314,0.085603,0.982631,0.037117,1.0000,0.0000,0.0000,0.1000
57,13161,0.111153,0.039512,0.065119,0.972933,0.109794,0.9231,0.0769,0.0000,0.1000
57,13211,0.113855,0.069151,0.136541,0.980951,0.105883,0.9500,0.0500,0.0000,0.1000
57,13261,0.071934,0.048444,0.086911,0.975999,0.116380,0.9800,0.0200,0.0000,0.1000
58,13341,0.146715,0.068795,0.106145,0.975996,0.024146,0.8991,0.1009,0.0000,0.1000
58,13391,0.133980,0.078107,0.068465,0.975803,0.232872,0.9500,0.0500,0.0000,0.1000
58,13441,0.057384,0.058694,0.138296,0.977786,0.045592,1.0000,0.0000,0.0000,0.1000
58,13491,0.105822,0.061580,0.087401,0.971712,0.094442,0.9500,0.0500,0.0000,0.1000
59,13571,0.140186,0.106828,0.095796,0.976872,0.048888,0.9500,0.0500,0.0000,0.1000
59,13621,0.137886,0.097011,0.096392,0.976585,0.505758,1.0000,0.0000,0.0000,0.1000
59,13671,0.105074,0.057846,0.293521,0.976491,0.116740,0.9500,0.0500,0.0000,0.1000
59,13721,0.087057,0.038272,0.082486,0.979773,0.102450,0.9500,0.0500,0.0000,0.1000
60,13801,0.041771,0.034119,0.160571,0.973566,0.110637,1.0000,0.0000,0.0000,0.1000
60,13851,0.110091,0.061094,0.075171,0.978639,0.138170,0.9500,0.0500,0.0000,0.1000
60,13901,0.111160,0.027881,0.114609,0.971375,0.436104,0.9500,0.0500,0.0000,0.1000
60,13951,0.203676,0.032940,0.060070,0.975907,1.400831,0.9600,0.0400,0.0000,0.1000
61,14031,0.072603,0.029491,0.285279,0.974960,0.035154,0.9500,0.0500,0.0000,0.1000
61,14081,0.127166,0.073808,0.066644,0.979464,0.199842,0.9500,0.0500,0.0000,0.1000
61,14131,0.061912,0.040797,0.095018,0.974534,0.251948,1.0000,0.0000,0.0000,0.1000
61,14181,0.095210,0.034613,0.099463,0.978111,0.216012,0.9500,0.0500,0.0000,0.1000
62,14261,0.171808,0.101487,0.111564,0.976455,0.410956,0.9500,0.0500,0.0000,0.1000
62,14311,0.031401,0.025080,0.069565,0.972285,0.088292,1.0000,0.0000,0.0000,0.1000
62,14361,0.111089,0.071733,0.099722,0.973443,0.059525,0.9500,0.0500,0.0000,0.1000
62,14411,0.087528,0.029793,0.132402,0.973140,0.182644,0.9500,0.0500,0.0000,0.1000
63,14491,0.044288,0.038631,0.096925,0.978075,0.095203,1.0000,0.0000,0.0000,0.1000
63,14541,0.143151,0.088944,0.092615,0.982292,0.228999,0.9500,0.0500,0.0000,0.1000
63,14591,0.161114,0.119911,0.277995,0.982811,0.143631,0.9500,0.0500,0.0000,0.1000
63,14641,0.106339,0.042961,0.073698,0.977242,0.424488,0.9700,0.0300,0.0000,0.1000
64,14721,0.122440,0.079687,0.089480,0.977256,0.103311,0.9500,0.0500,0.0000,0.1000
64,14771,0.106960,0.044579,0.184220,0.972603,0.250775,0.9500,0.0500,0.0000,0.1000
64,14821,0.052518,0.045735,0.122010,0.978925,0.029571,0.9900,0.0100,0.0000,0.1000
64,14871,0.254260,0.080978,0.376470,0.975075,0.284889,0.8100,0.1900,0.0000,0.1000
65,14951,0.084275,0.030653,0.245856,0.976947,0.141041,0.9500,0.0500,0.0000,0.1000
65,15001,0.056902,0.048609,0.111969,0.976815,0.131538,1.0000,0.0000,0.0000,0.1000
65,15051,0.177334,0.045258,0.122014,0.976972,0.042682,0.8422,0.1578,0.0000,0.1000
65,15101,0.104193,0.060204,0.093246,0.975506,0.088203,0.9500,0.0500,0.0000,0.1000
66,15181,0.103632,0.041816,0.089712,0.981211,0.068159,0.9300,0.0700,0.0000,0.1000
66,15231,0.236580,0.092280,0.128212,0.979601,0.729493,0.8991,0.1009,0.0000,0.1000
66,15281,0.082937,0.030963,0.123582,0.976893,0.125035,0.9500,0.0500,0.0000,0.1000
